      Step     Time          Energy          fmax
BFGS:    0 16:41:11     -703.036922       78.100123
BFGS:    1 16:45:58     -734.649235       16.748432
BFGS:    2 16:49:53     -737.436866       10.275855
BFGS:    3 16:53:36     -739.745855        3.393585
BFGS:    4 16:57:20     -740.103054        1.350749
BFGS:    5 17:00:23     -740.155932        0.797292
BFGS:    6 17:03:13     -740.173247        0.412766
BFGS:    7 17:05:50     -740.182864        0.182651
BFGS:    8 17:08:34     -740.184983        0.059021
BFGS:    9 17:10:25     -740.185155        0.009724
